#GeneSymbol	Categories
PTCD3	periphery
HNRNPL	periphery
CDCP1	periphery
NR2F2	periphery
DOCK4	periphery
MAFF	periphery
PDAP1	periphery
ZMYND8	periphery
COX4I1	periphery
SOCS3	periphery
ZFPM2	periphery
CHTOP	periphery
ADCY6	periphery
VCL	periphery
EIF5	periphery
PIEZO1	periphery
HSP90AA1	periphery
CYFIP2	periphery
FCGR2A	periphery
CEP104	periphery
PACSIN2	periphery
C15orf39	periphery
INPP5B	periphery
BRD3	periphery
SPO11	periphery
HBEGF	periphery
MTHFR	periphery
FASTKD2	periphery
PGRMC1	periphery
DSE	periphery
NR5A2	periphery
TAX1BP3	periphery
METTL3	periphery
USP9Y	periphery
TNNT1	periphery
ZNF23	periphery
PLCB2	periphery
CDK11A	periphery
KLC2	periphery
TRAF4	periphery
METTL8	periphery
ACACB	periphery
DOCK6	periphery
PTGDS	periphery
THOC5	periphery
RFC1	periphery
CDA	periphery
ZNF428	periphery
FECH	periphery
SKA1	periphery
CUL2	periphery
ARID4B	periphery
MPHOSPH8	periphery
COL6A2	periphery
KLF1	periphery
EFS	periphery
USP34	periphery
EDA	periphery
ZNF335	periphery
IFNA2	periphery
PHLDA1	periphery
PHC2	periphery
ATG5	periphery
KLHDC10	periphery
PIP5K1A	periphery
HOXA1	periphery
MED6	periphery
TFB2M	periphery
SCIN	periphery
SAT1	periphery
PGAP1	periphery
NLRP3	periphery
POU2F3	periphery
FOXH1	periphery
TBX2	periphery
DDX39B	periphery
CASP6	periphery
MACF1	periphery
PRPF31	periphery
HIST1H2BM	periphery
ENGASE	periphery
OGT	periphery
HMGB1	periphery
HSPH1	periphery
KRI1	periphery
MYBL1	periphery
HIST1H2BK	periphery
IL2RB	periphery
FADS3	periphery
DYRK2	periphery
GLP1R	periphery
OLFM1	periphery
PRPF6	periphery
HOXC13	periphery
CPSF1	periphery
PPWD1	periphery
TLR4	periphery
TRMU	periphery
DLG5	periphery
TXK	periphery
AQR	periphery
RHOBTB1	periphery
RRBP1	periphery
PRKCH	periphery
EIF3M	periphery
CLEC7A	periphery
SIT1	periphery
ZBTB16	periphery
TIMM44	periphery
KCNJ4	periphery
ELF2	periphery
RCN2	periphery
PTGES	periphery
